Country,Unemployment,Sunshine,Youth
Austria,5.3,1778,8.8
Belgium,7.2,1489,21.7
Bulgaria,6.2,2182,14.1
Croatia,10.9,2196,26.1
Czech Republic,2.9,1584,8.5
Denmark,5.7,1624,11.2
Estonia,6.5,1783,13.8
Finland,8.7,1664,20.8
France,9.6,2159,23
Germany,3.8,1562,6.5
Greece,21.2,2771,43.3
Hungary,4.2,1928,10.5
Iceland,2.8,1156,7.3
Ireland,6.3,1424,12
Italy,11.1,2270,35.2
Latvia,8.9,1757,15.1
Lithuania,7,1733,13
Luxembourg,6,1630,17.8
Malta,4,2957,10.8
Netherlands,4.9,1662,8.9
Norway,4.3,1197,10.8
Poland,5,1571,14.9
Portugal,9.1,2799,23.7
Romania,5,2112,16.8
Slovenia,6.6,1712,11.1
Spain,17.1,2646.5,39.1
Sweden,6.7,1702,18.2
United Kingdom,4.3,1325.67,11.8
