Country,GDP,Sunshine,Temperature,Precipitation,GDP_tot
Albania,11840,2544,11.4,1490,12.27
Austria,48004,1778,6.35,1100,387.3
Belarus,17999,1758,6.15,618,45.89
Belgium,45046,1489,9.55,847,465.25
Bosnia and Herzegovina,10957,1769,9.85,1030,16.32
Bulgaria,20326,2182,10.55,608,49.36
Croatia,22795,2196,10.9,1110,49.93
Czech Republic,33231,1584,7.55,677,185.27
Denmark,47985,1624,7.5,703,301.78
Estonia,29312,1783,5.1,626,23.48
Finland,42164,1664,1.7,536,234.58
France,42313,2159,10.7,867,2488.28
Germany,48110,1562,8.5,700,3494.9
Greece,26669,2771,15.4,652,194.59
Hungary,27481,1928,9.75,589,117.73
Iceland,49135,1156,1.75,1940,18.63
Ireland,69230,1424,9.3,1120,254.6
Italy,36833,2270,13.45,832,1852.5
Latvia,25709,1757,5.6,641,28.18
Lithuania,29972,1733,6.2,656,43.02
Luxembourg,104003,1630,8.65,934,60.18
Macedonia,14596,2339,9.8,619,10.42
Malta,39833,2957,19.2,560,10.34
Moldova,5327,2126,9.45,450,6.08
Montenegro,16643,2480,10.55,241,4.18
Netherlands,51049,1662,9.25,778,769.93
Norway,69249,1197,1.5,1410,366.87
Poland,27764,1571,7.85,600,473.5
Portugal,28933,2799,15.15,854,205.09
Romania,22347,2112,8.8,637,181.94
Serbia,14493,2112,10.55,686,37.38
Slovenia,33579,1712,8.9,1160,43.79
Spain,36415,2646.5,13.3,636,1252.16
Sweden,49836,1702,2.1,624,512.75
Switzerland,59560,1566,5.5,1540,651.77
Ukraine,8305,2183,8.3,565,83.55
United Kingdom,42480,1325.67,8.45,1220,2649.89
